Question,Response
 Tổng thống Hoa Kỳ thứ 45 là ai,Tổng thống Hoa Kỳ thứ 45 là Donald Trump.
 Hiện nay ai là tổng bí thư nước Việt Nam,Tổng bí thư nước Việt Nam hiện tại là Nguyễn Xuân Diệu.
 đâu là bản hiến pháp lâu đời nhất thế giới," Bản hiến pháp lâu đời nhất của thế giới là Hiến pháp Hoa Kỳ, được ký kết vào ngày 17 tháng 9 năm 1787."
 Tổ chức thống nhất châu Phi được thành lập ở đâu,"Tổ chức thống nhất châu Phi (AU) được thành lập tại Nairobi, Kenya vào ngày 18 tháng 9 năm 1960."
 Ngọn núi lửa cao nhất thế giới Ojos del Salado nằm ở đâu,"Ngọn núi lửa cao nhất thế giới là Ojos del Salado (OJ-S), nằm ở Tây Tạng, Nepal. Nó đứng ở độ cao 4.860 mét (15.781 feet) so với mực nước biển."
" Tác giả của ""Bạch Đằng giang phú""","Tác giả của ""007: Trở thành Hiệp sĩ"" là Bruce Sterling."
 Ai là người đặt tên nước là Vạn Xuân?,"Nguồn gốc của tên 'Vạn xuân' không được biết đến rõ ràng. Một số người cho rằng nó có nguồn gốc từ tên của vị thần Vạn xuân trong thần thoại Hy Lạp, người đã mang theo những cánh hoa đẹp trên đường đi của mình. Những người khác tin rằng nó có thể đề cập đến các khu vực hoặc vùng đất khác nhau nơi cây hoa Vạn xuân thường được tìm thấy. Tuy nhiên, không có bằng chứng thuyết phục nào để hỗ trợ bất kỳ lý thuyết này."
 Vị vua nào đã đặt tên quốc hiệu nước ta là Đại Cồ Việt,"Đại Cồ Việt là quốc hiệu của Việt Nam được đặt theo tên của nhà vua Nguyễn Huệ, người đã trở thành vua đầu tiên của triều đại Nguyễn ở Việt Nam. Ông là người đầu tiên đặt tên cho đất nước mình với tên "" Đại Việt"" ( Đại Cồ Việt) để thể hiện sự tôn trọng đối với vị thần của ông và các vị thần khác trong lịch sử."
 Trương Quang Nghĩa sinh ngày bao nhiêu,Trương Quang Nghĩa sinh vào ngày 23 tháng 1 năm 1975.
 Hồ Chí Minh đọc bản Tuyên ngôn Độc lập vào ngày tháng năm nào,skirts đã đọc bản Tuyên ngôn Độc lập vào ngày 2 tháng 9 năm 1946.
 Chủ tịch Hội sinh viên Việt Nam tại Paris nhiệm kỳ 1965-1966 là ai?,Chủ tịch Hội sinh viên Việt Nam tại Paris nhiệm kỳ 1965-1966 là Hoàng Thị Thiệp.
 Tây Du Ký phiên bản Trương Kỷ Trung khởi quay năm nào,Ý 2015
 Ngày môi trường thế giới 5 tháng 6 bắt đầu từ năm nào,Ngày môi trường thế giới lần thứ 5 bắt đầu vào ngày 20 tháng 6 năm 1972.
" Sau khi qua đời, vua Lý Nhân Tông truyền ngôi cho ai"," sau khi qua đời, Vua Lý Nhân Tông đã trao ngôi nhà cho con trai của ông, Hoàng Vệ Trung, người sau này trở thành vị vua cuối cùng của Đế quốc Thanh."
 Tỉnh nào có trữ lượng dầu mỏ lớn nhất Việt Nam,ứ nhất của Việt Nam là Thanh Hóa.
 Adolf Hitler sinh vào năm nào,"Adolf Hitler được sinh ngày 27 tháng 6 năm 1889 tại Munich, Đức."
 Thủ đô của Đông Ti Mo?,Thủ đô của Đông Ti Mo là Hà Nội.
 An Tư công chúa là con của vua Trần nào,Con trai của Vua Trần là An Tư Công chúa.
 Thuyết tương đối đặc biệt và thuyết tương đối tổng quát là ai phát minh ra?,Lý thuyết tương đối đặc biệt được phát minh bởi Albert Einstein vào năm 1905 và lý thuyết tương đối tổng quát đã được phát minh bởi Hubble trong thế kỷ 20.
